customer_id,first_name,last_name,customer_city,cpf,country_name,nome_completo
3287830764476260864,Janet,Ritter,1512698933146656256,85974914067,Brasil,Janet Ritter
2739905374464312320,Tina,Lamaster,2215180425815138560,78347385617,Brasil,Tina Lamaster
1308631020777024000,Anne,Worrall,1749955482489268736,40313783608,Brasil,Anne Worrall
1534459925020890112,Anthony,Ryan,346784544127578816,57649649611,Brasil,Anthony Ryan
2483467254182955520,Mary,Newson,2263771903449998336,20746682301,Brasil,Mary Newson
2870330490077069824,Joan,Cook,1073152763485539328,81702214755,Brasil,Joan Cook
3354089258293300736,Jerry,Adan,2934702727673640448,32179416572,Brasil,Jerry Adan
2760210528896511488,Katrina,Rellihan,3012365176097625088,49013925405,Brasil,Katrina Rellihan
2735689675437195264,Gwendolyn,Aaronson,963572295588270720,36221372029,Brasil,Gwendolyn Aaronson
1381376141845408256,Michael,Albright,1483895789715967488,31202518721,Brasil,Michael Albright
1762719100870633728,Roberto,Stinebaugh,2569454591546378240,08287607125,Brasil,Roberto Stinebaugh
1753914424190093824,Valerie,Whitfield,3103398560085953024,21541008521,Brasil,Valerie Whitfield
2312162617418906624,Richard,Mack,3095079143055916544,46066401079,Brasil,Richard Mack
3202076221140995584,Fritz,Rodriguez,2949993263072931840,54243845505,Brasil,Fritz Rodriguez
960422580921375360,Donna,Lewis,1957656960675214848,81335833940,Brasil,Donna Lewis
2027295864097128704,Jerome,Penwell,2164285134530103296,24755718247,Brasil,Jerome Penwell
793119362457005824,Craig,Koslow,1921225309723775488,84356993035,Brasil,Craig Koslow
2070971132911778560,Melissa,Mcleary,818251018164298240,51377040812,Brasil,Melissa Mcleary
686244608420670848,Virginia,House,1886604048862594048,43335223685,Brasil,Virginia House
3137965821003238400,Daniel,Thach,1609544977886256640,96417821478,Brasil,Daniel Thach
182526381936041376,Blanca,Lopez,1795866970023794944,62075365917,Brasil,Blanca Lopez
809736954350117376,Lynette,Brock,963572295588270720,10899893995,Brasil,Lynette Brock
1695225652936950272,Diane,Christiansen,2603189803548619776,17494148181,Brasil,Diane Christiansen
2038204820043495936,Sandra,Vanmeter,451427799796135680,86707935313,Brasil,Sandra Vanmeter
2076308341783435008,Kenneth,Farrow,2977506578533720576,02419121502,Brasil,Kenneth Farrow
1484763395207693312,Charlotte,Thomas,246693306700489120,36908951486,Brasil,Charlotte Thomas
2114070458883958528,Victor,Crochet,2305672598709218560,33084623190,Brasil,Victor Crochet
367388289209282048,Peggy,Terwilliger,1734898293086970880,64770219428,Brasil,Peggy Terwilliger
1431238525084009216,Isabel,Restrepo,1841626554655711232,46318689289,Brasil,Isabel Restrepo
260533175948060800,Erich,Salter,2347984814831941632,15401579568,Brasil,Erich Salter
518398560890017728,Cynthia,Hartwell,1215291016113604608,32613655291,Brasil,Cynthia Hartwell
2944623066260267520,Lori,Dolan,1279915472769257984,20215212729,Brasil,Lori Dolan
1448642626782182656,Kenneth,Link,1080025119332160000,59125466954,Brasil,Kenneth Link
2470648379066379776,Kathleen,Anderson,1841626554655711232,76451211888,Brasil,Kathleen Anderson
2119027986809368832,Anthony,Stevens,2189119023493045504,09419353048,Brasil,Anthony Stevens
1059925729751695872,Robert,Desir,1798616532090246656,43038646804,Brasil,Robert Desir
3213605847932144128,Gladys,Muise,3134252676592828928,53497891719,Brasil,Gladys Muise
1953116620748269056,Joseph,Kincheloe,210857954404330624,81555136084,Brasil,Joseph Kincheloe
579558206003009152,Sage,Ortiz,1450636388784388608,03862288431,Brasil,Sage Ortiz
987983167914471040,Theresa,Swartz,1734898293086970880,41466518244,Brasil,Theresa Swartz
1836363603084271360,Josephine,Lehman,1364593565319715840,77921806621,Brasil,Josephine Lehman
1960659770769075968,Brian,Miranda,1653463615035444992,59685388839,Brasil,Brian Miranda
3013312387466315264,Alisa,Pereira,91491305076835680,12525445477,Brasil,Alisa Pereira
